transport;166311
commun;120797
ecolog;79838
fair;79141
produit;78267
voitur;74113
consomm;72295
etre;68852
energ;62613
utilis;60973
tax;60195
pollut;57467
aid;56023
faut;55237
franc;55092
climat;54818
developp;54402
velo;53051
chang;52640
etat;51250
dechet;49334
vehicul;47937
exempl;47829
electr;46236
local;42956
chauffag;41341
grand;41187
eau;38883
vill;38127
pay;37876
solut;37873
dej;37697
econom;37469
entrepris;37248
pollu;36909
environ;36457
tri;36225
mem;35878
air;35729
limit;35310
deplac;34209
transit;33422
deregl;32315
secheress;31759
tre;31749
import;30185
incit;30044
doit;29851
biodiversit;29815
plac;29305
mettr;29260
avoir;29001
isol;28926
moyen;28926
arret;28767
polit;28096
espec;27451
bio;26843
prix;26810
niveau;26768
product;26200
favoris;26192
possibl;26114
cru;25473
cout;25324
demand;24747
trop;24546
europeen;24276
etc;24237
covoiturag;24162
prendr;24102
peut;24010
problem;23982
disparit;23773
citoyen;23729
achat;23705
reduir;23198
bon;22799
petit;22333
vi;22101
mod;21755
part;21478
invest;21470
augment;21411
solair;21373
achet;21210
nucleair;21027
pourr;20580
seul;20352
mond;20035
fais;19928
region;19830
train;19812
financier;19751
agricultur;19734
an;19521
don;19452
electricit;19352
faudr;19260
beaucoup;18592
habit;18327
cher;18269
interdir;18254
energet;18137
temp;17966
maison;17942
respect;17938
mieux;17923
ete;17900
public;17894
mis;17876
travail;17755
propr;17635
voir;17573
financ;17399
vrai;17391
diminu;17378
plastiqu;17345
partag;16948
industriel;16921
planet;16883
devr;16694
pouvoir;16665
cre;16566
comport;16550
pass;16357
animal;16274
log;16182
collectivit;16101
impot;16056
altern;16036
impact;15958
march;15934
install;15931
servic;15833
choix;15778
evit;15755
renouvel;15698
cyclabl;15555
pens;15503
bus;15488
fort;15455
montr;15424
pesticid;15393
pist;15374
oblig;15372
baiss;15320
propos;15281
emballag;15251
system;15095
mesur;15007
zon;14999
gaz;14976
eolien;14943
amelior;14940
gratuit;14603
campagn;14576
enfant;14442
collect;14379
panneau;14186
rendr;14110
besoin;14049
doivent;13997
fonction;13812
court;13670
particuli;13649
question;13619
actuel;13592
carbon;13515
pollueur;13457
gen;13450
ca;13327
reduct;13206
permettr;13091
terr;13057
impos;12972
europ;12867
surtout;12735
pai;12711
term;12702
action;12640
natur;12625
chaleur;12603
not;12601
anne;12601
chaudier;12560
national;12489
quotidien;12423
diesel;12419
recherch;12317
environnemental;12244
person;12172
trajet;12144
meilleur;11955
pris;11954
fin;11953
recyclag;11951
aliment;11900
hui;11850
aller;11823
aujourd;11794
plan;11719
jour;11568
simpl;11538
carbur;11501
sant;11500
effet;11480
projet;11416
auto;11412
cas;11355
plutot;11336
individuel;11322
nouvel;11321
reseau;11311
lieu;11279
reel;11276
matier;11198
compt;11161
chos;11075
naturel;11039
pratiqu;10957
select;10939
societ;10872
territoir;10795
sort;10789
mondial;10784
point;10783
rout;10776
inform;10641
trouv;10579
gouvern;10528
depart;10434
sen;10371
fiscal;10357
popul;10317
exist;10300
saison;10277
necessair;10227
respons;10209
agricol;10138
ains;10073
rest;10068
viand;9959
encourag;9927
vert;9841
fois;9821
recycl;9815
industr;9755
qualit;9750
effort;9715
social;9687
